label,sms,processed_sms
ham,Buy one egg for me da..please:),buy one egg daplease
ham,* You gonna ring this weekend or wot?,gonna ring weekend wot
ham,Dunno i juz askin cos i got a card got 20% off 4 a salon called hair sense so i tot it's da one ü cut ur hair. ,dunno juz askin cos got card got salon called hair sense tot da one cut ur hair
ham,Oh thats late! Well have a good night and i will give u a call tomorrow. Iam now going to go to sleep night night,oh thats late well good night give u call tomorrow iam going go sleep night night
ham,"Thanx 4 the time weve spent 2geva, its bin mint! Ur my Baby and all I want is u!xxxx",thanx time weve spent geva bin mint ur baby want uxxxx
ham,Lol. Well quality aint bad at all so i aint complaining,lol well quality aint bad aint complaining
ham,I will come with karnan car. Please wait till 6pm will directly goto doctor.,come karnan car please wait till pm directly goto doctor
spam,"URGENT! Your Mobile No 07808726822 was awarded a £2,000 Bonus Caller Prize on 02/09/03! This is our 2nd attempt to contact YOU! Call 0871-872-9758 BOX95QU",urgent mobile awarded bonus caller prize nd attempt contact call boxqu
ham,"K, jason says he's gonna be around so I'll be up there around  &lt;#&gt;",k jason says hes gonna around ill around ltgt
ham,Hey next sun 1030 there's a basic yoga course... at bugis... We can go for that... Pilates intro next sat.... Tell me what time you r free,hey next sun theres basic yoga course bugis go pilates intro next sat tell time r free
ham,"Well, i'm gonna finish my bath now. Have a good...fine night.",well im gonna finish bath goodfine night
spam,"This is the 2nd time we have tried to contact u. U have won the £400 prize. 2 claim is easy, just call 087104711148 NOW! Only 10p per minute. BT-national-rate",nd time tried contact u u prize claim easy call p per minute btnationalrate
ham,"TODAY is Sorry day.! If ever i was angry with you, if ever i misbehaved or hurt you? plz plz JUST SLAP URSELF Bcoz, Its ur fault, I'm basically GOOD",today sorry day ever angry ever misbehaved hurt plz plz slap urself bcoz ur fault im basically good
ham,Now only i reached home. . . I am very tired now. . I will come tomorro,reached home tired come tomorro
ham,"It's cool, we can last a little while. Getting more any time soon?",cool last little getting time soon
ham,No no. I will check all rooms befor activities,check rooms befor activities
ham,When did i use soc... I use it only at home... Ü dunno how 2 type it in word ar...,use soc use home dunno type word ar
ham,Why you Dint come with us.,dint come us
ham,Ok Chinese food on its way. When I get fat you're paying for my lipo.,ok chinese food way get fat youre paying lipo
ham,Sorry da. I gone mad so many pending works what to do.,sorry da gone mad many pending works
spam,"Want to funk up ur fone with a weekly new tone reply TONES2U 2 this text. www.ringtones.co.uk, the original n best. Tones 3GBP network operator rates apply",want funk ur fone weekly new tone reply tonesu text wwwringtonescouk original n best tones gbp network operator rates apply
spam,URGENT We are trying to contact you Last weekends draw shows u have won a £1000 prize GUARANTEED Call 09064017295 Claim code K52 Valid 12hrs 150p pm,urgent trying contact last weekends draw shows u prize guaranteed call claim code k valid hrs p pm
ham,I place all ur points on e cultures module already.,place ur points e cultures module already
ham,"Call me da, i am waiting for your call.",call da waiting call
ham,Mode men or have you left.,mode men left
ham,Love you aathi..love u lot..,love aathilove u lot
ham,No..he joined today itself.,nohe joined today
ham,I bought the test yesterday. Its something that lets you know the exact day u ovulate.when will get 2u in about 2 to 3wks. But pls pls dont fret. I know u r worried. Pls relax. Also is there anything in ur past history u need to tell me?,bought test yesterday something lets know exact day u ovulatewhen get u wks pls pls dont fret know u r worried pls relax also anything ur past history u need tell
ham,"A swt thought: ""Nver get tired of doing little things 4 lovable persons.."" Coz..somtimes those little things occupy d biggest part in their Hearts.. Gud ni8",swt thought nver get tired little things lovable persons cozsomtimes little things occupy biggest part hearts gud ni
ham,"Me not waking up until 4 in the afternoon, sup",waking afternoon sup
ham,Great. So should i send you my account number.,great send account number
ham,"Yo, you around? Just got my car back",yo around got car back
ham,Any pain on urination any thing else?,pain urination thing else
ham,Huh so early.. Then ü having dinner outside izzit?,huh early dinner outside izzit
spam,Get your garden ready for summer with a FREE selection of summer bulbs and seeds worth £33:50 only with The Scotsman this Saturday. To stop go2 notxt.co.uk,get garden ready summer free selection summer bulbs seeds worth scotsman saturday stop go notxtcouk
ham,"Oh, my love, it's soooo good to hear from you. Omg I missed you so much today. I'm sorry your having problems with the provider but thank you for tming me",oh love soooo good hear omg missed much today im sorry problems provider thank tming
ham,"Yeah, in fact he just asked if we needed anything like an hour ago. When and how much?",yeah fact asked needed anything like hour ago much
spam,"Thanks for your ringtone order, reference number X29. Your mobile will be charged 4.50. Should your tone not arrive please call customer services 09065989180",thanks ringtone order reference number x mobile charged tone arrive please call customer services
ham,"Dear all, as we know  &lt;#&gt; th is the  &lt;#&gt; th birthday of our loving Gopalettan. We are planning to give a small gift on that day. Those who like to participate in that you are welcome. Please contact our admin team for more details",dear know ltgt th ltgt th birthday loving gopalettan planning give small gift day like participate welcome please contact admin team details
spam,FreeMsg: Txt: CALL to No: 86888 & claim your reward of 3 hours talk time to use from your phone now! Subscribe6GBP/mnth inc 3hrs 16 stop?txtStop,freemsg txt call claim reward hours talk time use phone subscribegbpmnth inc hrs stoptxtstop
ham,"Yeah, give me a call if you've got a minute",yeah give call youve got minute
ham,I'm in class. Did you get my text.,im class get text
ham,did u get that message,u get message
ham,I'm vivek:)i got call from your number.,im viveki got call number
ham,Thank you. I like you as well...,thank like well
ham,"Ya they are well and fine., BBD(pooja) full pimples..even she become quite black..and ur rite here its too cold, wearing sweatter..",ya well fine bbdpooja full pimpleseven become quite blackand ur rite cold wearing sweatter
ham,"I know dat feelin had it with Pete! Wuld get with em , nuther place nuther time mayb?",know dat feelin pete wuld get em nuther place nuther time mayb
ham,I am back. Good journey! Let me know if you need any of the receipts. Shall i tell you like the pendent?,back good journey let know need receipts shall tell like pendent
ham,... Are you in the pub?,pub
spam,"FreeMsg: Claim ur 250 SMS messages-Text OK to 84025 now!Use web2mobile 2 ur mates etc. Join Txt250.com for 1.50p/wk. T&C BOX139, LA32WU. 16 . Remove txtX or stop",freemsg claim ur sms messagestext ok nowuse webmobile ur mates etc join txtcom pwk tc box lawu remove txtx stop
ham,"Rose for red,red for blood,blood for heart,heart for u. But u for me.... Send tis to all ur friends.. Including me.. If u like me.. If u get back, 1-u r poor in relation! 2-u need some 1 to support 3-u r frnd 2 many 4-some1 luvs u 5+- some1 is praying god to marry u.:-) try it....",rose redred bloodblood heartheart u u send tis ur friends including u like u get back u r poor relation u need support u r frnd many luvs u praying god marry u try
ham,Wat so late still early mah. Or we juz go 4 dinner lor. Aiya i dunno...,wat late still early mah juz go dinner lor aiya dunno
ham,If you are not coughing then its nothing,coughing nothing
ham,I'm meeting Darren...,im meeting darren
ham,"Hey ! I want you ! I crave you ! I miss you ! I need you ! I love you, Ahmad Saeed al Hallaq ...",hey want crave miss need love ahmad saeed al hallaq
ham,Hi Chachi tried calling u now unable to reach u .. Pl give me a missed cal once u c tiz msg  Kanagu,hi chachi tried calling u unable reach u pl give missed cal u c tiz msg kanagu
ham,I'm going 4 lunch now wif my family then aft dat i go str 2 orchard lor.,im going lunch wif family aft dat go str orchard lor
ham,"Just making dinner, you ?",making dinner
ham,Are you going to write ccna exam this week??,going write ccna exam week
ham,Can you talk with me..,talk
ham,So is there anything specific I should be doing with regards to jaklin or what because idk what the fuck,anything specific regards jaklin idk fuck
ham,Sorry da..today i wont come to play..i have driving clas..,sorry datoday wont come playi driving clas
ham,I cant pick the phone right now. Pls send a message,cant pick phone right pls send message
ham,How long does it take to get it.,long take get
ham,I am in a marriage function,marriage function
ham,"I'm taking derek &amp; taylor to walmart, if I'm not back by the time you're done just leave the mouse on my desk and I'll text you when priscilla's ready",im taking derek amp taylor walmart im back time youre done leave mouse desk ill text priscillas ready
ham,K.k:)when are you going?,kkwhen going
ham,Yeah you should. I think you can use your gt atm now to register. Not sure but if there's anyway i can help let me know. But when you do be sure you are ready.,yeah think use gt atm register sure theres anyway help let know sure ready
ham,"see you then, we're all christmassy here!",see christmassy
spam,FREE entry into our £250 weekly comp just send the word WIN to 80086 NOW. 18 T&C www.txttowin.co.uk,free entry weekly comp send word win tc wwwtxttowincouk
ham,K sure am in my relatives home. Sms me de. Pls:-),k sure relatives home sms de pls
ham,"Hi, can i please get a  &lt;#&gt;  dollar loan from you. I.ll pay you back by mid february. Pls.",hi please get ltgt dollar loan ill pay back mid february pls
ham,Nah dub but je still buff,nah dub je still buff
spam,**FREE MESSAGE**Thanks for using the Auction Subscription Service. 18 . 150p/MSGRCVD 2 Skip an Auction txt OUT. 2 Unsubscribe txt STOP CustomerCare 08718726270,free messagethanks using auction subscription service pmsgrcvd skip auction txt unsubscribe txt stop customercare
ham,And he's apparently bffs with carly quick now,hes apparently bffs carly quick
ham,Have you started in skye,started skye
ham,He neva grumble but i sad lor... Hee... Buy tmr lor aft lunch. But we still meetin 4 lunch tmr a not. Neva hear fr them lei. Ü got a lot of work ar?,neva grumble sad lor hee buy tmr lor aft lunch still meetin lunch tmr neva hear fr lei got lot work ar
ham,As per your request 'Melle Melle (Oru Minnaminunginte Nurungu Vettam)' has been set as your callertune for all Callers. Press *9 to copy your friends Callertune,per request melle melle oru minnaminunginte nurungu vettam set callertune callers press copy friends callertune
ham,Its sarcasm.. .nt scarcasim,sarcasm nt scarcasim
spam,SMS SERVICES For your inclusive text credits pls gotto www.comuk.net login 3qxj9 unsubscribe with STOP no extra charge help 08702840625 comuk.220cm2 9AE,sms services inclusive text credits pls gotto wwwcomuknet login qxj unsubscribe stop extra charge help comukcm ae
ham,"no, i *didn't* mean to post it. I wrote it, and like so many other times i've ritten stuff to you, i let it sit there. it WAS what i was feeling at the time. I was angry. Before i left, i hit send, then stop. It wasn't there. I checked on my phone when i got to my car. It wasn't there. You said you didn't sleep, you were bored. So why wouldn't THAT be the time to clean, fold laundry, etc.? At least make the bed?",didnt mean post wrote like many times ive ritten stuff let sit feeling time angry left hit send stop wasnt checked phone got car wasnt said didnt sleep bored wouldnt time clean fold laundry etc least make bed
ham,I have gone into get info bt dont know what to do,gone get info bt dont know
ham,A lot of this sickness thing going round. Take it easy. Hope u feel better soon. Lol,lot sickness thing going round take easy hope u feel better soon lol
spam,Free entry in 2 a wkly comp to win FA Cup final tkts 21st May 2005. Text FA to 87121 to receive entry question(std txt rate)T&C's apply 08452810075over18's,free entry wkly comp win fa cup final tkts st may text fa receive entry questionstd txt ratetcs apply overs
ham,"Alright, I'll head out in a few minutes, text me where to meet you",alright ill head minutes text meet
spam,PRIVATE! Your 2003 Account Statement for 07808 XXXXXX shows 800 un-redeemed S. I. M. points. Call 08719899217 Identifier Code: 41685 Expires 07/11/04,private account statement xxxxxx shows unredeemed points call identifier code expires
ham,"Me also da, i feel yesterday night  wait til 2day night dear.",also da feel yesterday night wait til day night dear
ham,I called and said all to him:)then he have to choose this future.,called said himthen choose future
ham,Senthil group company Apnt 5pm.,senthil group company apnt pm
spam,Your weekly Cool-Mob tones are ready to download !This weeks new Tones include: 1) Crazy Frog-AXEL F>>> 2) Akon-Lonely>>> 3) Black Eyed-Dont P >>>More info in n,weekly coolmob tones ready download weeks new tones include crazy frogaxel f akonlonely black eyeddont p info n
ham,Ok i shall talk to him,ok shall talk
ham,Am not working but am up to eyes in philosophy so will text u later when a bit more free for chat...,working eyes philosophy text u later bit free chat
ham,Not a drop in the tank,drop tank
spam,Are you unique enough? Find out from 30th August. www.areyouunique.co.uk,unique enough find th august wwwareyouuniquecouk
ham,"Will do, you gonna be at blake's all night? I might be able to get out of here a little early",gonna blakes night might able get little early
ham,Prabha..i'm soryda..realy..frm heart i'm sory,prabhaim sorydarealyfrm heart im sory
ham,"I am real, baby! I want to bring out your inner tigress...",real baby want bring inner tigress
ham,You will be in the place of that man,place man
ham,"Yeah, where's your class at?",yeah wheres class
ham,Ho ho - big belly laugh! See ya tomo,ho ho big belly laugh see ya tomo
ham,Oh and by the way you do have more food in your fridge! Want to go out for a meal tonight? ,oh way food fridge want go meal tonight
ham,Lol great now im getting hungry.,lol great im getting hungry
ham,"We know TAJ MAHAL as symbol of love. But the other lesser known facts 1. Mumtaz was Shahjahan's 4th wife, out of his 7 wifes. 2. Shahjahan killed Mumtaz's husband to marry her. 3. Mumtaz died in her  &lt;#&gt; th delivery. 4. He then married Mumtaz's sister. Question arises where the Hell is the LOVE?:-| -The Great Hari-",know taj mahal symbol love lesser known facts mumtaz shahjahans th wife wifes shahjahan killed mumtazs husband marry mumtaz died ltgt th delivery married mumtazs sister question arises hell love great hari
ham,"You are always putting your business out there. You put pictures of your ass on facebook. You are one of the most open people i've ever met. Why would i think a picture of your room would hurt you, make you feel violated.",always putting business put pictures ass facebook one open people ive ever met would think picture room would hurt make feel violated
spam,"Shop till u Drop, IS IT YOU, either 10K, 5K, £500 Cash or £100 Travel voucher, Call now, 09064011000. NTT PO Box CR01327BT fixedline Cost 150ppm mobile vary",shop till u drop either k k cash travel voucher call ntt po box crbt fixedline cost ppm mobile vary
ham,"Come to me, slave. Your doing it again ... Going into your shell and unconsciously avoiding me ... You are making me unhappy :-(",come slave going shell unconsciously avoiding making unhappy
ham,I think i am disturbing her da,think disturbing da
ham,Y de asking like this.,de asking like
ham,"I wonder if your phone battery went dead ? I had to tell you, I love you babe",wonder phone battery went dead tell love babe
ham,Why she wants to talk to me,wants talk
ham,Ok no prob. Take ur time.,ok prob take ur time
ham,"As I entered my cabin my PA said, '' Happy B'day Boss !!''. I felt special. She askd me 4 lunch. After lunch she invited me to her apartment. We went there.",entered cabin pa said happy bday boss felt special askd lunch lunch invited apartment went
ham,I'm working technical support :)voice process.networking field.,im working technical support voice processnetworking field
ham,Where in abj are you serving. Are you staying with dad or alone.,abj serving staying dad alone
spam,"Last Chance! Claim ur £150 worth of discount vouchers today! Text SHOP to 85023 now! SavaMob, offers mobile! T Cs SavaMob POBOX84, M263UZ. £3.00 Sub. 16",last chance claim ur worth discount vouchers today text shop savamob offers mobile cs savamob pobox muz sub
ham,"Can you pls pls send me a mail on all you know about relatives coming to deliver here? All you know about costs, risks, benefits and anything else. Thanks.",pls pls send mail know relatives coming deliver know costs risks benefits anything else thanks
ham,I can ask around but there's not a lot in terms of mids up here,ask around theres lot terms mids
ham,Ultimately tor motive tui achieve korli.,ultimately tor motive tui achieve korli
ham,U r too much close to my heart. If u go away i will be shattered. Plz stay with me.,u r much close heart u go away shattered plz stay
ham,Ok.,ok
ham,Hmm ill have to think about it... ok you're forgiven! =D,hmm ill think ok youre forgiven
ham,Thanks for your message. I really appreciate your sacrifice. I'm not sure of the process of direct pay but will find out on my way back from the test tomorrow. I'm in class now. Do have a wonderful day.,thanks message really appreciate sacrifice im sure process direct pay find way back test tomorrow im class wonderful day
ham, and  picking them up from various points,picking various points
spam,"Got what it takes 2 take part in the WRC Rally in Oz? U can with Lucozade Energy! Text RALLY LE to 61200 (25p), see packs or lucozade.co.uk/wrc & itcould be u!",got takes take part wrc rally oz u lucozade energy text rally le p see packs lucozadecoukwrc itcould u
spam,tells u 2 call 09066358152 to claim £5000 prize. U have 2 enter all ur mobile & personal details @ the prompts. Careful!,tells u call claim prize u enter ur mobile personal details prompts careful
ham,"That means you got an A in epi, she.s fine. She.s here now.",means got epi shes fine shes
ham,I thk 50 shd be ok he said plus minus 10.. Did ü leave a line in between paragraphs?,thk shd ok said plus minus leave line paragraphs
ham,"What will we do in the shower, baby?",shower baby
ham,"Sorry, it's a lot of friend-of-a-friend stuff, I'm just now about to talk to the actual guy who wants to buy",sorry lot friendofafriend stuff im talk actual guy wants buy
ham,"Hi hope u get this txt~journey hasnt been gd,now about 50 mins late I think.",hi hope u get txtjourney hasnt gdnow mins late think
ham,Olol i printed out a forum post by a guy with the exact same  prob which was fixed with a gpu replacement. Hopefully they dont ignore that.,olol printed forum post guy exact prob fixed gpu replacement hopefully dont ignore
spam,Guess what! Somebody you know secretly fancies you! Wanna find out who it is? Give us a call on 09065394973 from Landline DATEBox1282EssexCM61XN 150p/min 18,guess somebody know secretly fancies wanna find give us call landline dateboxessexcmxn pmin
ham,* Will be september by then!,september
ham,"No we put party 7 days a week and study lightly, I think we need to draw in some custom checkboxes so they know we're hardcore",put party days week study lightly think need draw custom checkboxes know hardcore
ham,Jordan got voted out last nite!,jordan got voted last nite
ham,Hope you are not scared!,hope scared
ham,"Hey... Thk we juz go accordin to wat we discussed yest lor, except no kb on sun... Cos there's nt much lesson to go if we attend kb on sat...",hey thk juz go accordin wat discussed yest lor except kb sun cos theres nt much lesson go attend kb sat
ham,* Was thinking about chuckin ur red green n black trainners 2 save carryin them bac on train,thinking chuckin ur red green n black trainners save carryin bac train
ham,Come aftr  &lt;DECIMAL&gt; ..now i m cleaning the house,come aftr ltdecimalgt cleaning house
spam,Free entry in 2 a weekly comp for a chance to win an ipod. Txt POD to 80182 to get entry (std txt rate) T&C's apply 08452810073 for details 18+,free entry weekly comp chance win ipod txt pod get entry std txt rate tcs apply details
ham,En chikku nange bakra msg kalstiya..then had tea/coffee?,en chikku nange bakra msg kalstiyathen teacoffee
ham,Lol ... I really need to remember to eat when I'm drinking but I do appreciate you keeping me company that night babe *smiles*,lol really need remember eat im drinking appreciate keeping company night babe smiles
ham,oh ya... Got hip hop open. Haha i was thinking can go for jazz then zoom to cine... Actually tonight i'm free leh... And there's a kb lesson tonight,oh ya got hip hop open haha thinking go jazz zoom cine actually tonight im free leh theres kb lesson tonight
ham,Was gr8 to see that message. So when r u leaving? Congrats dear. What school and wat r ur plans.,gr see message r u leaving congrats dear school wat r ur plans
ham,Me fine..absolutly fine,fineabsolutly fine
ham,Hmm. Shall i bring a bottle of wine to keep us amused? Just joking! I'll still bring a bottle. Red or white? See you tomorrow,hmm shall bring bottle wine keep us amused joking ill still bring bottle red white see tomorrow
ham,I'll be late...,ill late
ham,I'm wif him now buying tix lar...,im wif buying tix lar
ham,I want snow. It's just freezing and windy.,want snow freezing windy
ham,"You at mu? You should try to figure out how much money everyone has for gas and alcohol, jay and I are trying to figure out our weed budget",mu try figure much money everyone gas alcohol jay trying figure weed budget
spam,"Free entry to the gr8prizes wkly comp 4 a chance to win the latest Nokia 8800, PSP or £250 cash every wk.TXT GREAT to 80878 http//www.gr8prizes.com 08715705022",free entry grprizes wkly comp chance win latest nokia psp cash every wktxt great httpwwwgrprizescom
ham,What year. And how many miles.,year many miles
ham,"Sorry, was in the bathroom, sup",sorry bathroom sup
ham,I dun believe u. I thk u told him.,dun believe u thk u told
spam,"Last Chance! Claim ur £150 worth of discount vouchers today! Text SHOP to 85023 now! SavaMob, offers mobile! T Cs SavaMob POBOX84, M263UZ. £3.00 Sub. 16",last chance claim ur worth discount vouchers today text shop savamob offers mobile cs savamob pobox muz sub
spam,"Hi babe its Jordan, how r u? Im home from abroad and lonely, text me back if u wanna chat xxSP visionsms.com Text stop to stopCost 150p 08712400603",hi babe jordan r u im home abroad lonely text back u wanna chat xxsp visionsmscom text stop stopcost p
ham,I'm in chennai velachery:),im chennai velachery
ham,"Night sweet, sleep well! I've just been to see The Exorcism of Emily Rose and may never sleep again! Hugs and snogs! ",night sweet sleep well ive see exorcism emily rose may never sleep hugs snogs
ham,Just hopeing that wasn‘t too pissed up to remember and has gone off to his sisters or something!,hopeing wasnt pissed remember gone sisters something
spam,GSOH? Good with SPAM the ladies?U could b a male gigolo? 2 join the uk's fastest growing mens club reply ONCALL. mjzgroup. 08714342399.2stop reply STOP. msg@£1.50rcvd,gsoh good spam ladiesu could b male gigolo join uks fastest growing mens club reply oncall mjzgroup stop reply stop msgrcvd
ham,"My life Means a lot to me, Not because I love my life, But because I love the people in my life, The world calls them friends, I call them my World:-).. Ge:-)..",life means lot love life love people life world calls friends call world ge
spam,"WELL DONE! Your 4* Costa Del Sol Holiday or £5000 await collection. Call 09050090044 Now toClaim. SAE, TCs, POBox334, Stockport, SK38xh, Cost£1.50/pm, Max10mins",well done costa del sol holiday await collection call toclaim sae tcs pobox stockport skxh costpm maxmins
ham,No da. . Vijay going to talk in jaya tv,da vijay going talk jaya tv
ham,"The fact that you're cleaning shows you know why i'm upset. Your priority is constantly ""what i want to do,"" not ""what i need to do.""",fact youre cleaning shows know im upset priority constantly want need
ham,Fyi I'm gonna call you sporadically starting at like  &lt;#&gt;  bc we are not not doin this shit,fyi im gonna call sporadically starting like ltgt bc doin shit
ham,Love you aathi..love u lot..,love aathilove u lot
ham,Ugh hopefully the asus ppl dont randomly do a reformat.,ugh hopefully asus ppl dont randomly reformat
ham,"Its so common hearin How r u? Wat r u doing? How was ur day? So let me ask u something different. Did u smile today? If not, do it now.... Gud evng.",common hearin r u wat r u ur day let ask u something different u smile today gud evng
spam,For sale - arsenal dartboard. Good condition but no doubles or trebles!,sale arsenal dartboard good condition doubles trebles
ham,Wat r u doing?,wat r u
ham,Alrite jod hows the revision goin? Keris bin doin a smidgin. N e way u wanna cum over after college?xx,alrite jod hows revision goin keris bin doin smidgin n e way u wanna cum collegexx
ham,Hey pple...$700 or $900 for 5 nights...Excellent location wif breakfast hamper!!!,hey pple nightsexcellent location wif breakfast hamper
ham,LOOK AT THE FUCKIN TIME. WHAT THE FUCK YOU THINK IS UP,look fuckin time fuck think
ham,So the sun is anti sleep medicine.,sun anti sleep medicine
ham,Eat at old airport road... But now 630 oredi... Got a lot of pple...,eat old airport road oredi got lot pple
ham,I'm sick !! I'm needy !! I want you !! *pouts* *stomps feet* Where are you ?! *pouts* *stomps feet* I want my slave !! I want him now !!,im sick im needy want pouts stomps feet pouts stomps feet want slave want
ham,Shant disturb u anymore... Jia you...,shant disturb u anymore jia
ham,"Did you say bold, then torch later. Or one torch and 2bold?",say bold torch later one torch bold
ham,Are you this much buzy,much buzy
ham,What r u cooking me for dinner?,r u cooking dinner
ham,Still work going on:)it is very small house.,still work going onit small house
ham,Anyway seriously hit me up when you're back because otherwise I have to light up with armand and he always has shit and/or is vomiting,anyway seriously hit youre back otherwise light armand always shit andor vomiting
ham,Yes... I trust u to buy new stuff ASAP so I can try it out,yes trust u buy new stuff asap try
ham,"Hiya , have u been paying money into my account? If so, thanks. Got a pleasant surprise when i checked my balance -u c, i don't get statements 4 that acc",hiya u paying money account thanks got pleasant surprise checked balance u c dont get statements acc
ham,K..k:)how much does it cost?,kkhow much cost
ham,You are a very very very very bad girl. Or lady.,bad girl lady
ham,LOL that would be awesome payback.,lol would awesome payback
ham,"Yo, the game almost over? Want to go to walmart soon",yo game almost want go walmart soon
ham,I'm going for bath will msg you next  &lt;#&gt;  min..,im going bath msg next ltgt min
ham,That is wondar full flim.,wondar full flim
ham,"not that I know of, most people up here are still out of town",know people still town
ham,When is school starting. Where will you stay. What's the weather like. And the food. Do you have a social support system like friends in the school. All these things are important.,school starting stay whats weather like food social support system like friends school things important
ham,"I'm done. I'm sorry. I hope your next space gives you everything you want. Remember all the furniture is yours. If i'm not around when you move it, just lock all the locks and leave the key with jenne.",im done im sorry hope next space gives everything want remember furniture im around move lock locks leave key jenne
spam,from www.Applausestore.com MonthlySubscription@50p/msg max6/month T&CsC web age16 2stop txt stop,wwwapplausestorecom monthlysubscriptionpmsg maxmonth tcsc web age stop txt stop
ham,Carlos says we can pick up from him later so yeah we're set,carlos says pick later yeah set
ham,You give us back my id proof and  &lt;#&gt;  rs. We wont allow you to work. We will come to your home within days,give us back id proof ltgt rs wont allow work come home within days
ham,Yup i'm free...,yup im free
ham,Were trying to find a Chinese food place around here,trying find chinese food place around
ham,"Do 1 thing! Change that sentence into: ""Because i want 2 concentrate in my educational career im leaving here..""",thing change sentence want concentrate educational career im leaving
ham,Thank u!,thank u
ham,Life style garments account no please.,life style garments account please
ham,"Yep, the great loxahatchee xmas tree burning of  &lt;#&gt;  starts in an hour",yep great loxahatchee xmas tree burning ltgt starts hour
ham,Who's there say hi to our drugdealer,whos say hi drugdealer
ham,Hi Dear Call me its urgnt. I don't know whats your problem. You don't want to work or if you have any other problem at least tell me. Wating for your reply.,hi dear call urgnt dont know whats problem dont want work problem least tell wating reply
ham,Do you know what Mallika Sherawat did yesterday? Find out now @  &lt;URL&gt;,know mallika sherawat yesterday find lturlgt
ham,Hi im having the most relaxing time ever! we have to get up at 7am every day! was the party good the other night? I get home tomorrow at 5ish.,hi im relaxing time ever get every day party good night get home tomorrow ish
ham,"Poyyarikatur,kolathupalayam,unjalur post,erode dis, &lt;#&gt; .",poyyarikaturkolathupalayamunjalur posterode dis ltgt
ham,Hahaha..use your brain dear,hahahause brain dear
ham,"Hi hope u r both ok, he said he would text and he hasn't, have u seen him, let me down gently please ",hi hope u r ok said would text hasnt u seen let gently please
spam,As a registered optin subscriber ur draw 4 £100 gift voucher will be entered on receipt of a correct ans to 80062 Whats No1 in the BBC charts,registered optin subscriber ur draw gift voucher entered receipt correct ans whats bbc charts
ham,Alright took the morphine. Back in yo.,alright took morphine back yo
ham,Yes but I don't care cause I know its there!,yes dont care cause know
